x,y,wl,wr
-80.52130454,201.0085059,4.139538631,4.136295042
-79.6402554,201.4815355,4.138899869,4.135595859
-78.76235851,201.9603825,4.138955245,4.134545836
-77.88484734,202.4399429,4.136947568,4.133543865
-77.00324342,202.9119318,4.136998649,4.137831368
-76.11489802,203.3710997,4.145298956,4.151407632
-75.22132506,203.8200238,4.162871153,4.171429398
-74.32537353,204.2641716,4.182661981,4.190495636
-73.42799817,204.7054556,4.196670421,4.201290009
-72.52790731,205.1411524,4.200965397,4.204446249
-71.62433874,205.5695978,4.197983994,4.203544869
-70.72075986,205.998019,4.195315423,4.199903612
-69.81772261,206.4275814,4.195101886,4.198599351
-68.91444578,206.8566396,4.195605241,4.199288563
-68.00988115,207.2829761,4.195471426,4.200198408
-67.10232526,207.702908,4.194447591,4.20088413
-66.18982331,208.1119783,4.192464221,4.201391041
-65.27137727,208.5075263,4.187613403,4.199809216
-64.34973589,208.8955691,4.178086482,4.192756443
-63.428651,209.2849296,4.164883657,4.18009269
-62.5092292,209.6782049,4.153326251,4.166945228
-61.58787146,210.0669161,4.149222582,4.160532754
-60.66111864,210.4425951,4.153985271,4.163664454
-59.7293867,210.805802,4.165477115,4.171823203
-58.7917539,211.153402,4.175229824,4.168198711
-57.84940877,211.4880596,4.178267488,4.164759506
-56.90484166,211.8163743,4.17684015,4.161640246
-55.95979832,212.143321,4.174760134,4.160628083
-55.01543635,212.4722281,4.173754648,4.160979765
-54.07193944,212.8036096,4.174072705,4.162557654
-53.12896562,213.1364767,4.17732943,4.165149091
-52.18534941,213.4675188,4.178767122,4.165345043
-51.23978278,213.7929461,4.17652266,4.158673036
-50.29208828,214.1121237,4.163839916,4.143012477
-49.34349722,214.4286292,4.143219398,4.121607389
-48.39420159,214.7430141,4.127138668,4.101321783
-47.44233925,215.0495488,4.106339993,4.090429564
-46.48612604,215.3421957,4.096332242,4.094125079
-45.52659112,215.6238005,4.103770743,4.109787936
-44.56608552,215.9020559,4.121125863,4.126660586
-43.60545928,216.179908,4.136614284,4.136070039
-42.64357158,216.453336,4.141714096,4.137033896
-41.68012501,216.7212537,4.138958102,4.133916639
-40.71616137,216.9872868,4.133402595,4.128629361
-39.75124181,217.249833,4.128272688,4.12420706
-38.78401345,217.5037393,4.124919218,4.122241489
-37.81387295,217.7462845,4.123131777,4.121879506
-36.84194739,217.9815729,4.119082039,4.118663481
-35.86958403,218.2150454,4.108837264,4.108853836
-34.89674208,218.446517,4.092742353,4.093544862
-33.92174864,218.6687474,4.077585153,4.079950142
-32.94330465,218.875261,4.070608027,4.074713931
-31.96215062,219.0684898,4.071856239,4.077035491
-30.98001262,219.2566507,4.07513837,4.080562715
-29.99807743,219.4458687,4.074802191,4.080241203
-29.01622212,219.6355002,4.070999368,4.076621789
-28.03411221,219.8238088,4.066237316,4.072119834
-27.05183576,220.0112466,4.062038558,4.067761798
-26.06983397,220.2001167,4.056508526,4.062499177
-25.08708685,220.3850668,4.043229323,4.057517582
-24.10424079,220.5695048,4.026953753,4.046775146
-23.12025663,220.7477665,4.018465388,4.034605789
-22.1333817,220.9092221,4.022117465,4.031221396
-21.1439011,221.0538906,4.0328335,4.037520262
-20.15327078,221.1904795,4.042299417,4.047544643
-19.16294294,221.3292097,4.046677064,4.054406236
-18.17321026,221.4721477,4.051399725,4.058686902
-17.18330892,221.6139076,4.060109537,4.065154439
-16.19255081,221.7495407,4.072965506,4.076004742
-15.20084303,221.8780574,4.086020292,4.089859719
-14.20833887,222.0002695,4.09588506,4.103423528
-13.21497831,222.1153142,4.100532778,4.102030922
-12.22064163,222.2215821,4.100856404,4.094525815
-11.22548622,222.3198975,4.100016333,4.089309138
-10.22991743,222.4139373,4.101094242,4.08971313
-9.234284415,222.5072872,4.10418187,4.093605116
-8.238687968,222.6010405,4.107818494,4.096446006
-7.242891096,222.692594,4.109403127,4.096693649
-6.246460346,222.7772023,4.107481262,4.094567882
-5.249037324,222.8489592,4.102667182,4.090661485
-4.250539833,222.9037765,4.096558874,4.086659455
-3.251454493,222.9465307,4.091714616,4.083445404
-2.252144417,222.9836722,4.089658579,4.082779311
-1.252823976,223.020532,4.091215759,4.085076866
-0.253574211,223.059259,4.094975349,4.088700559
0.745556121,223.1009565,4.098792529,4.092063988
1.744688212,223.1426138,4.101558693,4.095177728
2.744063361,223.1779489,4.103329002,4.09832366
3.743781947,223.2016782,4.104999627,4.101755567
4.743699117,223.2145543,4.107358492,4.105578284
5.743680169,223.2207088,4.111416299,4.110856543
6.743673042,223.2244793,4.117950151,4.118087873
7.743658516,223.2298851,4.126551178,4.12639873
8.743606185,223.2400749,4.1355256,4.134456521
9.743498633,223.2548123,4.143692725,4.142682907
10.7434461,223.2648605,4.151633153,4.153357301
11.74342837,223.2584092,4.161873026,4.166869495
12.74316642,223.2342884,4.176346536,4.177078461
13.74223704,223.1913977,4.188238767,4.188226077
14.7410954,223.1435315,4.195221174,4.196330301
15.74015624,223.1004098,4.200927813,4.201717185
16.73958022,223.0650292,4.213324196,4.209592319
17.7380325,223.0105125,4.218620731,4.22562503
18.73731611,222.9728981,4.241700059,4.237708106
19.73632757,222.9286462,4.263199692,4.261580274
20.73432591,222.8650493,4.268416224,4.274668818
21.73173287,222.7932158,4.265059355,4.275960495
22.72876242,222.716147,4.256385963,4.269063102
23.7258526,222.6399323,4.248124657,4.259684866
24.72312473,222.5661172,4.242828288,4.252698813
25.72055339,222.4944364,4.241429654,4.249142415
26.71794562,222.4223366,4.2444931,4.250828057
27.71478015,222.3425738,4.250699959,4.257720016
28.70960027,222.2413448,4.254892347,4.267622545
29.70204657,222.1182122,4.253422029,4.257172681
30.69346978,221.9875481,4.250369352,4.253428617
31.68520266,221.8592217,4.247752471,4.254032885
32.67721017,221.7330437,4.245593061,4.250404334
33.66860702,221.6021552,4.241646827,4.240290944
34.65882049,221.4625926,4.233482153,4.226333758
35.64811377,221.3166515,4.220507867,4.211217938
36.63712426,221.1688065,4.20244574,4.194804474
37.62637513,221.0225783,4.182383241,4.176372482
38.61577625,220.8773691,4.166806757,4.158017548
39.6046417,220.7285578,4.161571841,4.143369194
40.59193395,220.5696434,4.1517836,4.134689434
41.57706698,220.3978497,4.142817209,4.131066773
42.5601969,220.2149404,4.138996379,4.130092202
43.54187595,220.0243988,4.137763875,4.130314071
44.52245218,219.8282604,4.137660552,4.131658439
45.50223372,219.6281901,4.139177354,4.13514332
46.48171163,219.4266383,4.143669968,4.14201887
47.46145481,219.2263816,4.151820931,4.15132657
48.44130032,219.0266192,4.160331314,4.157739102
49.41989371,218.8207489,4.163209448,4.158499095
50.39567564,218.6020435,4.15924385,4.155665645
51.36863921,218.3710674,4.154011147,4.15193867
52.33943613,218.1311645,4.154069647,4.152902144
53.30731036,217.879728,4.16094106,4.161508947
54.27048546,217.610845,4.172721937,4.17597683
55.22738516,217.3204639,4.185900612,4.192391723
56.17878155,217.0124418,4.200593223,4.208642373
57.12585666,216.6915319,4.220203477,4.230859008
58.07313137,216.370697,4.253714864,4.255589569
59.01569295,216.0369654,4.295821564,4.286126546
59.94106367,215.6577954,4.296115593,4.28323744
60.85080782,215.2421883,4.285945078,4.278007699
61.74816452,214.8011301,4.282657831,4.284345066
62.63805905,214.3443329,4.298053605,4.299889382
63.51238104,213.8592633,4.320509002,4.320004155
64.35620862,213.3225897,4.33245959,4.339542763
65.177527,212.7517221,4.342088602,4.325606285
65.98653017,212.1640119,4.335822387,4.328336775
66.78848621,211.5665841,4.340776847,4.339349559
67.58003187,210.9555215,4.347174604,4.349474396
68.35417413,210.322354,4.351990593,4.356903353
69.10297235,209.659474,4.362711401,4.365895468
69.8179316,208.9601383,4.388685214,4.384197738
70.49596436,208.2248906,4.414388899,4.419097762
71.13376174,207.4549536,4.412741957,4.478190648
71.75944172,206.6742039,4.476201974,4.539365479
72.36585264,205.8795931,4.553573415,4.570718656
72.91076274,205.0415744,4.585137868,4.594924001
73.41942961,204.1793417,4.584581584,4.596704092
73.91904803,203.313166,4.59077762,4.587092412
74.39872786,202.4356935,4.59448338,4.579606134
74.84445926,201.5403567,4.58366197,4.577767482
